|,emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
,Constantine the Great,constantinei55,AE,Follis,310,313,Treveri,null,null,3.91,23.0mm,6H,IMP CONSTANTINVS AVG,SOLI INVICTO COMITI,,,-/-//-,"Bust of Constantine I, laureate, cuirassed, right","Bust of Sol, radiate, draped, right seen from behind",RIC VI Treveri 890,,,"Ex. Frank S. Robinson, Auction 107 Lot 369",,
,Maxentius,maxentius1,AE,Follis,307,312,Ostia,3rd,null,5.45,24.0mm,12H,IMP C MAXENTIUS P F AVG,AETE-RNITAS-AUGN,,,-/-//MOSTT,"Head of Maxentius, laureate, right","Castor and Pollux standing facing one another, each leaning on scepter and holding bridle of horse",RIC VI Ostia 35,,,"Ex. CNG Auction 425, Lot 550, Ex. WRG Collection, Ex. William Porter, July 1991",4YV2,
,Maximinus II Daia,maximinusii4,AE,Follis,308,313,Alexandria,6th,null,6.73,23.1mm,12H,GAL VAL MAXIMINVS NOB CAES,GENIO CA-ESARIS,,,K/(ς on P)//ALE,"Head of Maximinus Daia, laureate, right;ties divergent, with pointed truncation","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and holding cornucopiae in left hand; liquid sometimes flowing from patera",RIC VI Alexandria 99a,CNG Lot,,"Ex. CNG Electronic Auction 457, Lot 751 (part of), Ex. Forum Ancient Coins",,yes
,Maximinus II Daia,maximinusii,AE,Follis,312,312,Alexandria,1st,null,5.00,21.0mm,6H,IMP C GAL VAL MAXIMINVS P F AVG,GENIO - AVGVSTI,,,N/Δ//ALE,"Head of Maximinus Daia, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding head of Serapis in right hand and cornucopiae in left hand",RIC VI Alexandria 157b,,,"Ex. Eng Collection, Ex. JAZ Numismatics Auction 108 Lot 6",CAG8,
,Maximinus II Daia,maximinusii3,AE,Follis,312,312,Nicomedia,3rd,null,4.73,23.1mm,6H,IMP C GAL VAL MAXIMINVS P F AVG,GENIO A-VGVSTI,,,-/Γ//SMN,"Head of Maximinus Daia, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand; to left, altar",RIC VI Nicomedia 71a,,,Ex. Busso Nachf Store 2018,XD8H,
,Constantine the Great,constantinei1,AE,Follis,312,313,Rome,2nd,null,3.35,19.5mm,12H,IMP CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,-/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys hanging behind, standing left, raising right hand and holding up globe in left hand",RIC VI Rome 323a,Rome Mint Sol,Clashed Dies,Ex. ValiantKnight (Jeff) 2017,KJTP,yes
,Constantine the Great,constantinei19,AE,Follis,312,313,Rome,4th,null,3.00,20.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,-/-//RQ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys hanging behind, standing left, raising right hand and holding up globe in left hand",RIC VI Rome 323a,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,NFGA,yes
,Constantine the Great,constantinei20,AE,Follis,312,313,Rome,2nd,null,3.14,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,-/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys hanging behind, standing left, raising right hand and holding up globe in left hand",RIC VI Rome 323a,Rome Mint Sol,,Ex. FSR Bargain Bin 2018,DLPM,
,Constantine the Great,constantinei57,AE,Follis,312,313,Rome,1st,null,4.27,22.09mm,6H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CTO COMITI,,,-/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol standing right, head left, with right hand raised, holding globe in left hand",RIC VI Rome 332,Rome Mint Sol,,Ex. Marc R. Breitsprecher 2019,,yes
,Constantine the Great,constantinei58,AE,Follis,312,313,Rome,1st,null,4.74,22.05mm,12H,IMP CONSTANTINVS P F AVG,S P Q R OPTIMO PRINCIPI,,,-/-//MOSTP,"Bust of Constantine I, laureate, cuirassed, right","Legionary eagle, standing left, between two vexilla; vexilla to left surmounted by right hand; vexilla to right surmounted by wreath; flag on eagle and sometimes on one vexillum",RIC VI Ostia 94,,,Ex. Marc R. Breitsprecher 2019,,yes
,Constantine the Great,constantinei11,AE,Follis,312,313,Ticinum,1st,null,5.12,23.0mm,6H,CONSTANTINVS P F AVG,SOLI INVI-C-TO COMITI,,,-/-//PT,"Bust of Constantine I, laureate, cuirassed, right","Sol, chlamys draped over left shoulder, standing right, head left, raising right hand and holding up globe in left hand",RIC VI Ticinum 131a,,,"Ex. Solidus Numismatik Online Auction 21, Lot 606",726L,yes
,Constantine the Great,constantinei12,AE,Follis,312,313,Rome,2nd,null,3.90,22.0mm,6H,IMP CONSTANTINVS P F AVG,S P Q R OPTIMO PRINCIPI,,,-/-//RS,"Bust of Constantine I, laureate, cuirassed, right","Legionary eagle, standing front or right, between two vexilla",RIC VI Rome 349a,,,Ex. Carpe Diem Numismatics 2017,5L8L,yes
,Constantine the Great,constantinei63,AE,Follis,312,313,Rome,2nd,null,4.09,23.0mm,12H,IMP CONSTANTINVS P F AVG,S P Q R OPTIMO PRINCIPI,,,-/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Legionary eagle, standing front or right, between two vexilla",RIC VI Rome 350a,,,"Ex. Dattari Collection, Ex. Jesus Vico Online Auction 5, Lot 228",,yes
,Constantine the Great,constantinei13,AE,Follis,312,313,Rome,2nd,null,3.90,22.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//RS,"Bust of Constantine I, laureate, draped, right, seen from behind","Sol, chlamys hanging behind (sometimes flying out), standing right, raising right hand and holding up globe in left hand",RIC VI Rome 335a,Rome Mint Sol,,"Ex. C. Dattari Collection, Ex. Jesús Vico Online Auction 3, Lot 342",3KVW,
,Constantine the Great,constantinei39,AE,Follis,312,313,Rome,3rd,null,3.71,23.3mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//RT,"Bust of Constantine I, laureate, cuirassed, right","Sol, chlamys hanging behind, standing right, raising right hand and holding up globe in left hand",RIC VI Rome 336a,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,ZKLX,
,Constantine the Great,constantinei18,AE,Follis,312,313,Ostia,1st,null,4.50,22.0mm,6H,IMP C CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//MOSTP,"Bust of Constantine I, laureate, cuirassed, right","Sol, chlamys flying out, standing front, head left, raising right hand and holding up globe in left hand",RIC VI Ostia 89,Constantine Sol Mint Set,,Ex. Navi eBay 2018,FS56,yes
,Constantine the Great,constantinei29,AE,Follis,313,313,Rome,2nd,null,3.24,20.0mm,6H,IMP CONSTANTINVS P F AVG,MARTI CO-NSERVATORI,,,R/F//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Mars, helmeted, draped, cuirassed, standing right, holding reversed spear in right hand and resting left hand on shield",RIC VII Rome 6,,,Ex. eBay 2019,,yes
,Constantine the Great,constantinei31,AE,Follis,313,315,Treveri,1st,null,4.83,22.0mm,6H,CONSTANTINVS P F AVG,MARTI CON-SERVATORI,,,T/F//PTR,"Bust of Constantine I, laureate, cuirassed, right","Mars, helmeted, draped, cuirassed, cloak spread, standing right, holding reversed vertical spear in right hand and resting left hand on shield",RIC VII Treveri 53,,,"Ex. Ancient & Medieval Coins Canada Auction 2, Lot 239, Ex. TheRed Collection",RCQ6,yes
,Constantine the Great,constantinei32,AE,Follis,313,314,London,1st,null,3.72,22.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-IC-TO COMITI,,,✱/-//PLN,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys draped over left shoulder, standing left, raising right hand and holding up globe with left hand","RIC VI Londinium 279, Cloke & Toone N/A",,,"Ex. FSR Auction 110, Lot 330",,yes
,Constantine the Great,constantinei60,AE,Follis,313,314,London,1st,null,3.22,21.5mm,6H,IMP CONSTANTINVS P AVG,SOLI INV-IC-TO COMITI,,,✱/-//PLN,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys draped over left shoulder, standing left, raising right hand and holding up globe with left hand","RIC VI Londinium 282, Cloke & Toone 8.01.009",,,Ex. FSR Bargain Bin 2019,,yes
,Constantine the Great,constantinei26,AE,Follis,313,314,Rome,1st,null,2.80,20.2mm,6H,IMP CONSTANTINVS P F AVG,SOLI IN-V-ICTO COMITI,,,R/F//R✱P,"Bust of Constantine, laureate, draped, cuirassed, right","Sol standing left, chlamys across left shoulder, holding globe and raising right hand",RIC VII Rome 19,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,JAQT,
,Constantine the Great,constantinei27,AE,Follis,313,314,Rome,2nd,null,4.05,20.6mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,R/F//R✱S,"Bust of Constantine, laureate, draped, cuirassed, right","Sol standing left, chlamys across left shoulder, holding globe and raising right hand",RIC VII Rome 19,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,Y2XU,
,Constantine the Great,constantinei28,AE,Follis,313,314,Rome,3rd,null,3.36,20.9mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,R/F//R✱T,"Bust of Constantine, laureate, draped, cuirassed, right","Sol standing left, chlamys across left shoulder, holding globe and raising right hand",RIC VII Rome 19,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,7YV8,yes
,Licinius I,liciniusi11,AE,Follis,313,315,Cyzicus,4th,null,2.70,22.0mm,6H,IMP C VAL LICIN LICINIVS P F AVG,GENIO AV-GVSTI CMH,,,-/Δ//SMK,"Head of Licinius, laureate, right","Genius, wearing modius, chlamys draped across left shoulder, standing left, holding patera in right hand and cornucopiae in left hand",RIC VII Cyzicus 2,,,Ex. Victor Clark 2019,,yes
,Licinius I,liciniusi12,AE,Follis,313,317,Nicomedia,5th,null,3.41,23.0mm,6H,IMP C VAL LICIN LICINIVS P F AVG,IOVI CONS-ERVATORI,,,-/∈//SMN,"Head of Licinius, laureate, right","Jupiter, nude, chlamys draped across left shoulder, standing left, holding Victory on globe in right hand and leaning on sceptre with left hand; to left, eagle holding wreath",RIC VII Nicomedia 13,,,"Ex. Savoca Blue Auction 18, Lot 1947",,yes
,Constantine the Great,constantinei16,AE,Follis,314,314,London,1st,null,3.40,22.0mm,6H,CONSTANTINVS P AVG,SOLI INVIC-TO COMITI,,,S/P//MLN,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand","RIC VII Londinium 56, Cloke & Toone 8.06.010",Constantine Sol Mint Set,,"Ex. Paul Munro-Walker, Ex. Victor Clark 2019",,yes
,Constantine the Great,constantinei30,AE,Follis,314,314,Rome,4th,null,3.61,21.8mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,R/F//R✱P,"Bust of Constantine, laureate, cuirassed, right","Sol, radiate, chlamys draped over left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 20,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,BYPT,
,Licinius I,liciniusi1,AE,Follis,314,314,Rome,4th,null,3.20,21.0mm,6H,IMP LICINIVS P F AVG,SOLI INV-I-CTO COMITI,,,R/F//R✱Q,"Bust of Licinius, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 22,Rome Mint Sol,,"Ex. Wolf (Ancient & US Coins LLC), Chicago ANA 2013, Valentinian (Warren) 2017",7YM2,yes
,Constantine the Great,constantinei4,AE,Follis,314,315,Rome,2nd,null,3.23,23.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(R on X)/F//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 27,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2017,BJM3,yes
,Constantine the Great,constantinei64,AE,Follis,314,315,Rome,2nd,null,3.27,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(R on X)/F//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 27,Rome Mint Sol,,Ex. Romae Aeternae Numismatics 2019,,yes
,Constantine the Great,constantinei10,AE,Follis,314,315,Rome,3rd,null,3.67,20.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(R on X)/F//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 27,Rome Mint Sol,,Ex. Aegean Numismatics 2017,BRBL,yes
,Licinius I,liciniusi3,AE,Follis,314,315,Rome,2nd,null,3.20,21.0mm,6H,IMP LICINIVS P F AVG,SOLI INV-I-CTO COMITI,,,(R on X)/F//RS,"Bust of Licinius, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 29,Rome Mint Sol,,"Ex. C. Dattari Collection, Ex. Jesús Vico Online Auction 3, Lot 317",XMXH,yes
,Licinius I,liciniusi7,AE,Follis,314,315,Rome,4th,null,2.82,20.6mm,6H,IMP LICINIVS P F AVG,SOLI INV-I-CTO COMITI,,,(R on X)/F//RQ,"Bust of Licinius, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 30,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,8YYG,yes
,Constantine the Great,constantinei25,AE,Follis,315,315,Rome,1st,null,3.48,23.6mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CTO COMITI,,,S/F//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 33,Rome Mint Sol,Constantine Sol Mint Set,"Ex. FORVM Ancient Coins 2018, Ex. Martin Maridvnvm Collection",S3LL,
,Constantine the Great,constantinei7,AE,Follis,315,315,Rome,1st,null,3.47,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,S/F//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 33,Rome Mint Sol,,Ex. eBay 2019,,yes
,Constantine the Great,constantinei22,AE,Follis,315,315,Rome,2nd,null,3.41,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,S/F//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 33,Rome Mint Sol,,"Ex. FSRCoin Bargain List, March 2018",K963,yes
,Licinius I,liciniusi9,AE,Follis,315,315,Rome,2nd,null,2.88,20.8mm,6H,IMP LICINVS P F AVG,SOLI INV-I-CTO COMITI,,,S/F//RS,"Bust of Licinius, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 35,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,SKR8,yes
,Licinius I,liciniusi2,AE,Follis,315,315,Rome,3rd,null,2.30,21.5mm,5H,IMP LICINVS P F AVG,SOLI INV-I-CTO COMITI,,,S/F//RT,"Bust of Licinius, laureate, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 36,Rome Mint Sol,,Ex. FSR Coin Bargain Bin 2017,AJGJ,yes
,Constantine the Great,constantinei50,AE,Follis,315,315,Rome,1st,null,3.55,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,C/S//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 40,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,
,Constantine the Great,constantinei14,AE,Follis,315,315,Rome,3rd,null,3.00,22.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,C/S//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 40,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2017,RKXV,
,Constantine the Great,constantinei21,AE,Follis,315,315,Rome,3rd,null,3.71,20.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,C/S//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 40,Rome Mint Sol,Clashed Dies,"Ex. FSRCoin Bargain List, March 2018",8GSC,yes
,Constantine the Great,constantinei48,AE,Follis,315,315,Rome,4th,null,2.99,19.7mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,C/S//RQ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 40,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,yes
,Constantine the Great,constantinei33,AE,Follis,315,316,Arelate,1st,null,3.10,20.3mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/F//PARL,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing right, facing left, raising right hand and holding globe in left hand",RIC VII Arelate 63,,,Ex. Carpe Diem Numismatics 2018,,
,Constantine the Great,constantinei49,AE,Follis,315,316,Lugdunum,1st,null,3.35,19mm,6H,IMP CONSTANTINVS P F AVG,SOLI INVIC-TO COMITI,,,TF/✱//PLG,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, standing left, chlamys draped across left shoulder, raising right hand and holding globe in left hand",RIC VII Lugdunum 33,,,Ex. Carpe Diem Numismatics 2018,,
,Constantine the Great,constantinei61,AE,Follis,315,316,Lugdunum,1st,null,2.78,20.5mm,12H,IMP CONSTANTINVS AVG,SOLI INVIC-TO COMITI,,,TF/✱//PLG,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, standing left, chlamys draped across left shoulder, raising right hand and holding globe in left hand",RIC VII Lugdunum 34,,,Ex. FSR Bargain Bin 2019,,yes
,Constantine the Great,constantinei38,AE,Follis,316,316,Arelate,3rd,null,3.36,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,M/F//ARLΓ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing right, head left, raising right hand and holding globe in left hand",RIC VII Arelate 102,Constantine Sol Mint Set,,"Ex. Savoca Blue Auction 9, Lot 1835",,
,Constantine the Great,constantinei47,AE,Follis,316,316,Ticinum,1st,null,2.55,19.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INVI-C-TO COMITI,,,+/✱//PT,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing right, head left, raising right hand and holding globe in left hand",RIC VII Ticinum 45,Constantine Sol Mint Set,,Ex. Carpe Diem Numismatics 2018,,yes
,Constantine the Great,constantinei41,AE,Follis,316,316,Rome,1st,null,3.21,20.3mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CT COM D N,,,✱/🌙//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand",RIC VII Rome 49,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,yes
,Constantine the Great,constantinei8,AE,Follis,316,316,Rome,3rd,null,3.72,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CT COM D N,,,✱/🌙//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand",RIC VII Rome 49,Rome Mint Sol,,"Ex. Solidus Numismatik Online Auction 21, Lot 607",WSF3,yes
,Constantine the Great,constantinei17,AE,Follis,316,316,Rome,3rd,null,3.72,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CT COM D N,,,✱/🌙//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand",RIC VII Rome 49,Rome Mint Sol,CNG Lot,"Ex. CNG Electronic Auction 456, Lot 751 (part of)",,yes
,Constantine the Great,constantinei34,AE,Follis,316,316,Arelate,1st,null,3.04,18.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CTO COMITI,,,(T over Star)/F//PARL,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing right, head left, raising right hand and holding globe in left hand",RIC VII Arelate 84,Clashed Dies,,Ex. Savoca eBay 2018,,yes
,Constantine the Great,constantinei6,AE,Follis,316,317,Rome,1st,null,3.10,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand; to left, captive wearing Phrygian cap",RIC VII Rome 52,Rome Mint Sol,,Ex. Victor Clark 2019,,yes
,Constantine the Great,constantinei42,AE,Follis,316,317,Rome,1st,null,2.94,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand; to left, captive",RIC VII Rome 55,Rome Mint Sol,,Ex. Romae Aeternae Numismatics 2019,,yes
,Constantine the Great,constantinei44,AE,Follis,317,317,Rome,2nd,null,3.09,20.1mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,A/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 78,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,,yes
,Constantine the Great,constantinei5,AE,Follis,317,317,Rome,4th,null,3.84,20.5mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,A/-//RQ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 78,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2017,VU2H,yes
,Constantine the Great,constantinei24,AE,Follis,317,317,Rome,4th,null,3.85,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,A/-//RQ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 78,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,URR9,
,Constantine the Great,constantinei9,AE,Follis,317,317,Treveri,2nd,null,3.70,20.0mm,12H,CONSTANTINVS P F AVG,SOLI INVIC-TO COMITI,,,T/F//BTR,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, chlamys spread, standing right, head left, raising right hand and holding globe in left hand",RIC VII Treveri 135,,,Ex. Carpe Diem Nvmismatics 2017,RXWB,
,Constantine the Great,constantinei15,AE,Follis,317,318,Rome,1st,null,4.00,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(wreath)/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 97,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2017,UQCE,yes
,Constantine the Great,constantinei40,AE,Follis,317,318,Rome,3rd,null,3.25,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(wreath)/-//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 97,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,,yes
,Constantine the Great,constantinei23,AE,Follis,317,318,Ticinum,2nd,null,2.64,19.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INVI-C-TO COMITI,,,P/-//ST,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Ticinum 68,,,"Ex. FSR Auction 104, Lot 398",4FXH,yes
,Constantine the Great,constantinei46,AE,Follis,318,318,Rome,2nd,null,3.25,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(T in wreath)/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 136,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,yes
,Constantine the Great,constantinei43,AE,Follis,318,318,Rome,3rd,null,3.20,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(T in wreath)/-//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 136,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,yes
,Constantine the Great,constantinei56,AE,Follis,318,318,Siscia,5th,null,3.26,20.0mm,12H,IMP CONSTANTINVS AVG,VICT LAETAE PRINC PERP,,,-/-//ϵSIS,"Cuirassed bust left, wearing crested helmet decorated with two large stars and vine scroll, holding spear over right shoulder","Two Victories standing facing one another, holding shield inscribed VOT/PR in two lines over decorated altar",RIC VII Siscia 49,Constantine VLPP,,"Ex. CNG Coin Shop February, 2018",,yes
,Constantine the Great,constantinei66,AE,Follis,319,319,London,1st,null,3.29,17.7mm,6H,IMP CONSTANTI-NVS AVG,VICTORIAE LAETAE PRINC PERP,,,(column)//PLN,"Bust of Constantine I, wearing high-crested helmet, cuirassed, left, spear across right shoulder","Two Victories, winged, draped, facing each other, holding a shield inscribed VOT/PR supported by a column","RIC VII Londinium 156, Cloke & Toone 9.01.004",Constantine VLPP,,Ex. Mike Vosper 2019,,yes
,Constantine the Great,constantinei62,AE,Follis,319,319,Arelate,3rd,null,2.90,17.0mm,12H,IMP CONSTAN-TINVS AVG,VICTORIAE LAETAE PRINC PERP,,,-/-//TARL,"Bust of Constantine I, wearing high-crested helmet, cuirassed, left, spear across right shoulder","Two Victories, winged, draped, facing each other, holding a shield inscribed VOT/PR supported by a column",RIC VII Arelate 192,Constantine VLPP,,Ex. Victors Imperial Coins 2019,,yes
